"","Label","Synonyms","MeSH Frequency"
"1","melarsen oxide","p-(4,6-diamino-1,3,5-triazin-2-yl)aminophenylarsonous acid|melarsenoxide",34
"2","Typhus, Endemic Flea-Borne","Typhus, Murine|Typhus, Endemic|Endemic Typhus|Flea-Borne Typhus, Endemic|Typhus, Endemic Flea Borne|Murine Typhus|Endemic Flea-Borne Typhus",NA
"3","Tomaculous neuropathy","Hereditary Pressure Sensitive Neuropathy|Neuropathy, Hereditary, With Liability To Pressure Palsies|Inherited Tendency To Pressure Palsies|Compression Neuropathy|Polyneuropathy, familial recurrent|Hereditary Neuropathy with Liability to Pressure Palsy|Familial Pressure Sensitive Neuropathy|Hereditary Neuropathy with Liability To Pressure Palsies",70
"4","Epigastric Arteries","Epigastric Artery|Artery, Epigastric|Arteries, Epigastric",NA
"5","isocolchicine","isocolchicine, (S)-isomer",11
"6","cysteine isopropyl ester","cysteine isopropylester|cysteine isopropyl ester hydrochloride|CIPE",5
"7","laponite",NA,65
"8","derquantel",NA,11
"9","Helium",NA,NA
"10","Sex Determination by Skeleton",NA,NA
"11","Neuregulins","NRG Proteins|Neuronal Differentiation Factor, Cholinergic",NA
"12","vannusal B",NA,7
"13","Lopes Gorlin syndrome","Short tarsus absence of lower eyelashes|Short Tarsus with Absence of Lower Eyelashes",9
"14","Vanadates","Oxyvanadium|Sodium Vanadate|Vanadyl|Orthovanadate|Decavanadate|Metavanadate|Vanadate|Vanadate, Sodium|Monovanadate",NA
"15","methyl salicylate","methylsalicylate|Rheumabal|methyl salicylate sodium salt|Metsal Liniment|Linsal|Hewedolor",360
"16","Hypohidrosis","Anhidrosis",NA
"17","chelex",NA,76
"18","nitrile butyl rubber",NA,12
"19","Polypodiaceae","Gusuibu|Drynariae|Drynarias|Drynaria|Gusuibus",NA
"20","bacteriochlorophyll e","bacteriochlorophyll-e",22
"21","Anterior Capsule of the Lens",NA,NA
"22","bile acid-CoA ligase","BACS enzyme|bile acid-CoA synthetase",17
"23","Arabia",NA,NA
"24","Schizencephaly","Cysts, Schizencephalic|Cyst, Schizencephalic|Schizencephalic Clefts|Schizencephalic Cysts|Schizencephalic Cleft|Schizencephalies|Cleft, Schizencephalic|Clefts, Schizencephalic|Schizencephalic Cyst",NA
"25","poly(U).poly(A).poly(U)","poly(uridylic acid)-poly(adenylic acid)-poly(uridylic acid)|poly(U-A-U)",7
"26","Ion Exchange","Exchange, Ion",NA
"27","Spermatogonia","Spermatophores|Spermatogonias|Spermatophore",NA
"28","phosphon","phosfon D|phosphon iodide|2,4-dichlorobenzyltributylphosphonium chloride|phosphon bromide",6
"29","Antiaris","Antiari",NA
"30","Polyethylenes","Ethylene Homopolymers|Ethene Homopolymers|Ethylene Polymers|Homopolymers, Ethene|Polymers, Ethylene",NA
"31","shigyaku-san","Si-Ni-San|TJ-35|Shigyakusan",13
"32","Fluconazole","UK 49858|Fluconazol-ratiopharm|FlucoLich|Triflucan|Mack Brand of Fluconazole|Neofomiral|Lavisa|Armstrong Brand of Fluconazole|Fluconazol ratiopharm|Chemia Brand of Fluconazole|1H-1,2,4-Triazole-1-ethanol, alpha-(2,4-difluorophenyl)-alpha-(1H-1,2,4-triazol-1-ylmethyl)-|Pfleger Brand of Fluconazole|Zonal|ratiopharm Brand of Fluconazole|Fluconazol von ct|Aliud Brand of Fluconazole|Alpharma Brand of Fluconazole|Pfizer Brand of Fluconazole|betapharm Brand of Fluconazole|Fluconazol AL|UK49858|ct-Arzneimittel Brand of Fluconazole|Fungata|Fluconazol-Isis|Diflucan|Effik Brand of Fluconazole|SAT Brand of Fluconazole|Fluconazol Stada|Silanes Brand of Fluconazole|Apo-Fluconazole|Lesvi Brand of Fluconazole|Apo Fluconazole|Lichtenstein Brand of Fluconazole|Oxifungol|Vita Brand of Fluconazole|AbZ Brand of Fluconazole|Flucobeta|Fluc Hexal|Solacap|B̩agyne|Flunazul|Hexal Brand of Fluconazole|Fluconazol Isis|ct Arzneimittel Brand of Fluconazole|Stada Brand of Fluconazole|UK-49858|Apotex Brand of Fluconazole|Loitin|Fluconazol AbZ",NA
"33","endoplasmin","endoplasmin CB4|glucose-regulated protein 100, rat|grp94 protein, mouse|TRA1 protein, human|endoplasmin CB3|endoplasmin T1|94-kDa glucose-regulated protein, mouse|HSP90B1 protein, human|glucose-regulated protein 94, human|endoplasmin protein, mouse|GP96 protein, human|heat shock protein 90B1, human|endoplasmin T2|Tra1 protein, mouse|tumor rejection antigen (gp96) 1, human|endoplasmin CB2|tumor rejection antigen gp96, rat|Grp94 protein, rat|Tra1 protein, rat|tumor rejection antigen gp96, mouse|endoplasmin protein, rat|GRP94 protein, human|Grp100 protein, rat|endoplasmin CB1|Hsp90beta1 protein, rat",311
"34","trichodecenin I","L-Isoleucinamide, N-(1-oxo-4-decenyl)glycylglycyl-L-leucyl-2-aminobutanoylglycyl-N-(1-(hydroxymethyl)-3-methylbutyl)-, (1(Z),6(S))-|trichodecenin-I|4-decenoyl-glycyl-glycyl--leucyl-2-methylalanyl-glycyl-isoleucyl-leucinol|4-decenoyl-Gly-Gly--Leu-Aib-Gly-Ile-Lol",4
"35","trimethyl phosphine",NA,11
"36","siliconized nylon","Silon",25
"37","Nipecotic Acids","Acids, Nipecotic",NA
"38","gulose","gulose, (L)-isomer|gulose, (D)-isomer",26
"39","tildrakizumab","MK-3222|SCH 900222",5
"40","Carotid Artery, External","Carotid Arteries, External|External Carotid Arteries|Arteries, External Carotid|Artery, External Carotid|External Carotid Artery",NA
"41","conopressin G","Lys-conopressin G|Lys-conopressin|Lymnaea conopressin|Lys-conopressin, Lymnaea stagnalis|Oxytocin, 2-L-phenylalanine-4-L-arginine-8-L-lysine-",16
"42","Virophages","Virophage",NA
"43","adiposin","adiposin 2|adiposin 1",4
"44","tempidon","2,2,6,6-tetramethyl-4-piperidone|tempidon sulfate|triacetonamine|tempidon hydrochloride|TMPone|2,2,6,6-tetramethylpiperidone-4-toluene-p-sulfonate|tempidon 4-methylbenzenesulfonate",27
"45","Esthetics, Dental","Esthetic, Dental|Dental Esthetic|Aesthetics, Dental|Dentistries, Cosmetic|Dental Esthetics|Dentistry, Cosmetic|Cosmetic Dentistry|Cosmetic Dentistries",NA
"46","Hypertrophy, Left Ventricular","Hypertrophies, Left Ventricular|Left Ventricular Hypertrophies|Left Ventricular Hypertrophy|Ventricular Hypertrophy, Left|Ventricular Hypertrophies, Left",NA
"47","kuwanon G",NA,6
"48","trafermin",NA,15
"49","Paleopathology",NA,NA
"50","propargylic sulfone",NA,6
"51","Retinal Degeneration","Degeneration, Retinal|Retinal Degenerations|Degenerations, Retinal",NA
"52","Hirsutism",NA,NA
"53","Mercuribenzoates","Mercuribenzoic Acids|Acids, Mercuribenzoic",NA
"54","propyromazine","1-methyl-1-(1-(phenothiazin-10-ylcarbonyl)ethyl)pyrrolidinium bromide",14
"55","Encyclopedias",NA,NA
"56","Rhodospirillum rubrum",NA,NA
"57","mortality","survival|death rate",NA
"58","codonopsinine",NA,6
"59","Pimenta","officinalis, Pimenta|Pimentas|Pimenta diocias|Allspices|Allspice|Pimenta officinalis|Pimenta diocia|diocia, Pimenta|Pimenta officinali",NA
